,A,B,C,D,E,F
0,1.757400063,1.87925809,1.849052115,-1.629331393,-2.524122172,-0.64771575
1,2.159336016,-0.13696715,1.211930491,0.358519906,-2.419033176,0.035181777
2,2.833290785,1.440706167,0.947283583,-2.313871653,0.082668495,-1.624995152
3,0.293340013,0.502712313,0.570408058,-2.264196253,-0.825651785,-1.532621228
4,3.261479338,0.932312764,3.195280164,0.124670759,-1.99606044,0.562934512
5,2.590602948,-0.831651873,1.715774654,-0.79580143,-1.190740251,0.003832966
6,1.968638506,0.503757241,0.792580386,-1.114035839,-0.893268684,-0.473328914
7,3.670438878,-3.180488295,2.739250398,-2.391161138,-2.547248196,-2.474594468
8,-1.184933944,1.148002888,-0.466840599,-1.11284564,-0.469091718,-0.955407154
9,-0.785739107,-0.292872732,-1.772888659,-1.444987219,0.657711031,-0.84901489
10,-0.862417698,0.899914604,-0.577921757,1.37098474,2.079601148,0.381990482
11,-0.495377786,0.475040437,-0.565074988,0.104162769,0.258246311,0.03742278
12,2.492827544,1.67674462,2.278070788,-2.246756614,-1.37069704,-1.013522351
13,2.509229566,0.9848213,1.337152678,-0.425492668,-3.699426037,1.537830383
14,1.172614938,1.141007716,-0.440670743,0.379404825,-0.099881718,0.61689673
15,3.600494834,0.683177187,3.513749233,-0.547751823,-3.819032249,0.461153164
16,2.094549066,-2.044038396,1.990620557,-0.307515667,-3.282328497,-0.036758382
17,1.373388052,-0.65694597,1.333221737,1.035104991,-1.035374473,0.510045069
18,-0.317643967,0.809740767,-1.512322814,2.90692373,-0.124007098,-0.838683478
19,0.174716685,-0.083111473,-1.842934029,-2.240215722,1.087539125,-0.837852349
20,0.950077718,3.378337602,-1.940945079,1.887300951,2.476640349,-0.427820575
21,-0.354084148,0.226069837,-0.319028199,-1.520138123,-0.466864011,-0.890516575
22,2.159673114,-1.215986857,2.122387858,-1.406678911,-2.050952729,0.037391708
23,0.172054775,0.574479542,0.451678404,-0.025720608,1.087864249,-0.182012571
24,1.64260122,-0.865370866,1.385277589,-1.271853213,-2.073331152,-0.586080448
25,0.83733578,0.319756798,0.794839705,0.489895444,-1.052199357,1.045725568
26,2.328179024,-4.538047077,3.613440285,1.021464849,-4.25300077,-0.229836298
27,0.700875412,1.463887925,0.727918712,-2.549707876,-0.22289317,-1.046059214
28,1.736211274,-1.439580276,2.049314347,-0.334771466,-2.724439436,0.353714499
29,0.288519231,0.48460838,-0.813696252,0.863998839,0.978673724,-0.007616439
30,4.783975371,0.320050845,2.866676162,0.240117198,-4.000793661,0.454324736
31,0.706637338,1.085967931,-0.478155392,1.088222874,0.591525698,0.37420678
32,2.729511887,1.467622646,2.543035707,1.204303973,-5.085044114,-1.461479928
33,4.272907505,0.061485627,2.244741609,-1.895273231,-4.178313163,-0.058089053
34,-0.022303563,0.652807366,-0.183165828,0.625778371,-0.645305556,-0.135233677
35,1.954544811,0.940996556,1.019938171,1.149208649,-4.075520344,0.848503694
36,0.333085577,0.357633932,0.233607279,-2.000303181,-0.34223007,-0.532709519
37,0.033807553,1.691227873,-0.794379635,1.389087279,1.273572058,-0.914224493
38,-2.01368597,-0.920972714,-1.732617239,-4.649430267,3.992767516,-0.050503817
39,-2.607943869,4.460515332,-2.349069838,1.306787486,0.633566755,0.0198973
40,1.387691085,0.092924574,1.394090884,0.689433239,1.314925949,-0.517628921
