,A,B,C,D
0,0,0.874670262,1.220365904,0.125329738
1,0,0.409664586,-0.134906602,0.590335414
2,0,0.886024503,0.531703465,-0.886024503
3,0,-0.194359229,-0.819261445,0.194359229
4,0,0.546944795,2.315844411,0.453055205
5,0,-0.005959962,0.238520423,1.005959962
6,0,-0.510477001,0.02772483,0.510477001
7,0,0.450373532,-1.131493362,1.549626468
8,0,0.652038185,2.373487871,-0.652038185
9,0,0.021741909,-1.555564758,-0.021741909
10,0,-0.240259919,-1.034082372,0.240259919
11,0,0.820138498,-1.737334854,-0.820138498
12,0,0.35160395,1.046556241,-0.35160395
13,0,-0.310316792,-1.13927607,0.310316792
14,0,1.634207244,1.228950904,-0.634207244
15,0,-0.202702785,0.784055998,0.202702785
16,0,1.278416545,0.183811242,-1.278416545
17,0,1.305338257,2.099003653,-0.305338257
18,0,-0.62510049,-1.181844206,0.62510049
19,0,-0.250227183,-0.973944035,0.250227183
20,0,0.608405851,-1.298442771,-0.608405851
21,0,1.401507517,0.078419763,0.598492483
22,0,1.290766936,0.431331331,-1.290766936
23,0,-0.193771233,0.879427038,1.193771233
24,0,1.329115231,1.872563598,-1.329115231
25,0,-0.189871189,-0.343526432,1.189871189
26,0,1.378349568,-0.811410581,-1.378349568
27,0,1.459784245,0.202520261,-0.459784245
28,0,0.128921846,1.074941268,-0.128921846
29,0,-0.258640775,0.361524115,0.258640775
30,0,-0.13735699,-0.631711359,0.13735699
31,0,1.864458789,-0.667860033,-1.864458789
32,0,0.908221693,-2.262868171,0.091778307
33,0,-0.18662585,-1.238302052,0.18662585
34,0,-0.18075908,-3.358441678,0.18075908
35,0,-0.367964824,-0.865537352,0.367964824
36,0,0.084375207,0.19010781,-0.084375207
37,0,1.396195655,1.161152149,-1.396195655
38,0,0.674954718,-1.208132919,0.325045282
39,0,0.652205006,-1.190436564,-0.652205006
40,0,-0.301038327,-1.081873834,0.301038327
41,0,0.452961514,-1.246104255,-0.452961514
42,0,-0.090354144,0.105916974,1.090354144
43,0,0.132462078,1.38264312,0.867537922
44,0,-0.17428589,-1.545250316,0.17428589
45,0,0.430200788,-0.787905834,-0.430200788
46,0,-0.035306958,0.0050157,1.035306958
47,0,-0.020587428,-2.03666999,2.020587428
48,0,0.325395062,1.736559693,-0.325395062
49,0,-0.031511409,-1.138110356,0.031511409
50,0,-0.510766975,0.002276413,1.510766975
51,0,1.18678324,0.503140708,-1.18678324
52,0,1.364194365,0.715726091,-1.364194365
53,0,0.87640685,-0.18765373,1.12359315
54,0,1.199163109,1.875793843,-1.199163109
55,0,0.098765522,-0.966907322,-0.098765522
56,0,0.624748683,-1.293696765,-0.624748683
57,0,-0.40814405,-2.577909162,0.40814405
58,0,0.575201955,-1.619185498,1.424798045
59,0,-0.259766836,-0.77068136,0.259766836
60,0,-0.722216923,0.648506777,1.722216923
61,0,0.611364927,-0.488381556,-0.611364927
62,0,0.536142981,1.273144942,0.463857019
63,0,-0.534395103,-0.962660848,1.534395103
64,0,1.369099564,1.767531843,-1.369099564
65,0,1.323296017,-1.676430282,-1.323296017
66,0,0.279245157,0.879627879,-0.279245157
67,0,-0.115769831,0.324722906,0.115769831
68,0,0.108797441,-1.725757472,-0.108797441
69,0,0.243202831,0.998810386,0.756797169
70,0,-0.248991758,-0.565471509,0.248991758
71,0,-0.198825337,-0.293697645,1.198825337
72,0,1.131616746,0.728220855,-1.131616746
73,0,-0.021499026,0.233871519,1.021499026
74,0,0.743671046,0.597669025,0.256328954
75,0,-0.212236013,-0.176496379,0.212236013
76,0,-0.439870252,1.575173938,0.439870252
77,0,0.74158764,1.360824996,0.25841236
78,0,-0.108546125,-0.65768354,2.108546125
79,0,0.055079859,0.06335408,-0.055079859
80,0,0.771030107,0.484956814,-0.771030107
81,0,0.685423998,-0.54743889,-0.685423998
82,0,-0.062727833,0.794471127,1.062727833
83,0,0.16667631,0.98869457,-0.16667631
84,0,0.412196244,0.543383436,0.587803756
85,0,-0.193690806,0.11722707,0.193690806
86,0,1.323592483,-0.336750426,-0.323592483
87,0,-0.59332116,1.210522788,1.59332116
88,0,-0.335595176,-0.182989117,2.335595176
89,0,-0.270605775,-0.878572353,2.270605775
90,0,-0.596895459,0.666592762,1.596895459
91,0,0.362412868,-0.328242035,-0.362412868
92,0,-0.091144133,1.46057213,0.091144133
93,0,-0.710925252,1.161024453,2.710925252
94,0,1.63479516,2.416647646,0.36520484
95,0,-0.356932568,0.234607775,2.356932568
96,0,0.513247677,-0.206927835,0.486752323
97,0,0.278888566,0.429911671,-0.278888566
98,0,-0.169152176,0.9820483,1.169152176
99,0,-0.363639415,0.49644566,0.363639415
