,A,B,C,D,E,F
0,2,0.472847881,-0.253124585,1.21487331,0.575341484,0.174046962
1,2,1.031374708,1.975743244,-0.201562423,-3.774280995,0.85430023
2,2,0.672476773,0.086751957,-1.42694981,-2.722728709,0.698996445
3,2,1.327366996,-0.556139907,-0.258623123,-0.720876624,1.256640963
4,2,-0.41986601,-1.723758744,-0.959319679,1.665705511,0.547951829
5,2,0.69999567,0.612966617,-1.470024876,-2.217792408,-0.925409188
6,2,0.889532068,-0.583478167,-1.17727661,0.267357086,0.264310338
7,2,-0.205106458,-1.395948703,-2.292824498,2.819071816,-0.992440527
8,2,1.176073385,-1.041632182,2.030953115,1.892747154,-0.869221066
9,2,0.408592863,1.422391706,-0.377277257,1.954178633,0.548857951
10,2,1.166779581,-1.989885335,0.2700363,2.540440857,-0.759917194
11,2,-0.179926309,2.828387683,1.731911413,-3.549344828,-0.887692322
12,2,0.369808824,-0.101469103,0.753510393,0.386331369,1.241066487
13,2,0.108290272,1.606951071,-0.739931215,-2.456461783,-0.117024159
14,2,0.201087465,3.280945862,0.835753148,-4.799028676,0.313431663
15,2,-0.889142211,3.63895166,0.059592408,-3.245246891,0.192398837
16,2,-0.420863404,0.893775796,-0.492308723,-2.123131053,0.811497157
17,2,0.883507343,0.066920023,-2.814956559,-2.237335176,-0.837499993
18,2,1.274607182,0.821527112,-4.286107478,-0.93248565,-1.234685514
19,2,0.074361956,1.731939314,-1.074195439,-2.391812562,-0.321046878
20,2,-0.30102304,1.78733964,1.336466822,-3.544869021,-0.21323403
21,2,1.08708207,2.580381549,-1.93246429,-2.824134939,-1.229218063
22,2,0.878339578,0.785726743,0.973640595,0.408739397,-1.250620077
23,2,-0.08407902,1.069191326,-0.161655975,0.211988924,-0.154641233
24,2,-1.537495623,1.464986477,-0.947964795,0.017037007,0.293566024
25,2,0.536519855,2.763537869,-1.03043118,-3.981322253,1.212731453
26,2,0.733369724,0.899549007,-1.276258791,-0.527477825,0.309318041
27,2,2.087536118,-1.504904029,-0.719066459,-1.257989996,0.097752895
28,2,0.88352973,-0.349022948,2.566767477,1.492564293,-1.366107425
29,2,-1.81467014,1.921352318,-0.01900307,-2.970838769,0.596378015
30,2,0.889248435,-0.550449714,2.936895186,1.501420812,-1.21507598
31,2,0.791546501,2.776973583,-0.546636332,-3.279990147,0.199542479
32,2,0.727962029,1.085707376,1.493414596,-1.071733412,-0.015084421
33,2,0.876184695,3.071055783,0.203374458,-3.569548019,1.038462777
34,2,0.134370763,-0.471160453,0.541996556,-1.084670708,0.036954098
35,2,1.494570276,3.995354526,0.20624692,-1.110010459,0.026714182
36,2,-1.885394188,1.218171537,2.442653279,0.689285029,-1.355299451
37,2,0.70746791,2.673530078,-2.160382588,-2.422694818,-1.342659955
