,A,B,C,D
0,2.141981732,-2,1.529251119,5.141981732
1,0.623754267,-2,-0.15879522,2.623754267
2,-0.153397077,-2,-0.989878563,1.846602923
3,0.874729633,-2,-1.15352455,3.874729633
4,0.133725177,-2,-1.102311436,3.133725177
5,-0.531204223,-2,-1.65422926,3.468795777
6,0.11984065,-2,-1.751358923,2.11984065
7,-0.46858038,-2,0.510763682,2.53141962
8,0.902509427,-2,1.400866578,4.902509427
9,7.725285582,-2,1.529257478,9.725285582
10,-0.447190759,-2,-1.111057591,2.552809241
11,1.97373665,-2,0.637940415,4.97373665
12,1.262951462,-2,0.962517407,4.262951462
13,-0.968849327,-2,-0.043363019,2.031150673
14,1.719146427,-2,-1.01225754,3.719146427
15,5.597782891,-2,1.269514676,7.597782891
16,0.122299957,-2,-0.172024197,3.122299957
17,1.560262705,-2,0.267531121,5.560262705
18,2.286440472,-2,1.442655695,4.286440472
19,-0.077724521,-2,-1.528848689,1.922275479
20,1.256979852,-2,0.442013757,3.256979852
21,0.994627572,-2,0.512532919,2.994627572
22,2.878630125,-2,-1.716868517,5.878630125
23,1.984724657,-2,-0.147051104,4.984724657
24,2.224849232,-2,0.442983851,6.224849232
25,1.487274097,-2,0.530594861,3.487274097
26,2.779523177,-2,1.84339095,5.779523177
27,3.530590921,-2,2.204133225,7.530590921
28,-1.760348085,-2,0.266996821,0.239651915
29,-1.106782389,-2,-0.016963179,2.893217611
30,1.986357519,-2,1.057303547,4.986357519
31,1.085020887,-2,1.3802105,4.085020887
32,0.08417509,-2,2.099658287,2.08417509
33,4.768650584,-2,2.198092279,6.768650584
34,-0.457228391,-2,-1.349770863,1.542771609
35,0.088520025,-2,-0.92204009,2.088520025
36,-1.101556761,-2,0.569487116,1.898443239
37,5.315855598,-2,1.536982732,9.315855598
38,2.004738587,-2,0.8570148,6.004738587
39,0.035283128,-2,-1.000478364,2.035283128
40,0.912701032,-2,0.994875499,4.912701032
41,2.969021257,-2,0.327667047,5.969021257
42,0.017300632,-2,-0.691164703,2.017300632
43,4.287828329,-2,0.63755338,6.287828329
44,0.538619857,-2,0.086852652,2.538619857
45,3.187872961,-2,2.166955771,5.187872961
46,-2.622215827,-2,-0.465315617,0.377784173
47,1.546124475,-2,0.672100189,5.546124475
48,5.099075923,-2,0.228522685,8.099075923
49,3.067388851,-2,2.083512885,7.067388851
50,-0.127343085,-2,-0.54490547,1.872656915
51,3.141934112,-2,1.417575566,5.141934112
52,1.47346155,-2,0.614943761,4.47346155
53,1.559582623,-2,2.684208757,3.559582623
54,0.294016197,-2,1.07883739,4.294016197
55,1.233147119,-2,-0.81149464,5.233147119
56,1.157161386,-2,0.184024436,3.157161386
57,2.66110629,-2,2.146789477,4.66110629
58,-0.558924872,-2,-0.230754668,1.441075128
59,3.041864097,-2,2.035561459,5.041864097
60,9.016818499,-2,2.330345692,11.0168185
61,0.289039452,-2,0.201357808,3.289039452
62,2.545568307,-2,0.56544249,4.545568307
63,-0.994670991,-2,-0.323650116,3.005329009
64,-5.23860795,-2,-3.653266559,-3.23860795
65,1.977029187,-2,-0.513696786,4.977029187
66,0.184875683,-2,-1.543098668,2.184875683
67,-0.746071274,-2,0.332097936,1.253928726
68,2.77076153,-2,-0.382175855,4.77076153
69,1.170507508,-2,1.490446491,3.170507508
70,-0.594622089,-2,-0.765942585,1.405377911
71,1.833083761,-2,1.066442955,3.833083761
72,3.529264571,-2,-1.67025269,5.529264571
73,2.969065346,-2,2.055172091,4.969065346
74,1.38596709,-2,-0.464906629,4.38596709
75,0.636916075,-2,0.570466506,2.636916075
76,1.708194412,-2,0.925001705,5.708194412
77,1.60844761,-2,-0.651692508,4.60844761
78,2.403596818,-2,-0.023149347,5.403596818
79,0.210908059,-2,0.758378562,3.210908059
80,1.600555011,-2,0.973423153,4.600555011
81,1.020647532,-2,-0.28258869,4.020647532
82,-2.13910392,-2,-1.092365338,1.86089608
83,0.770052241,-2,-0.112623385,3.770052241
84,3.049463276,-2,1.508486842,5.049463276
85,1.061025204,-2,-0.57016924,4.061025204
86,3.409101915,-2,1.634223436,5.409101915
87,1.129993641,-2,1.254941325,3.129993641
88,2.274350333,-2,2.40354236,5.274350333
89,3.157779173,-2,1.482792492,6.157779173
90,-3.692894285,-2,0.106216692,0.307105715
91,1.855315927,-2,0.996725105,3.855315927
92,0.293750368,-2,-0.604255719,2.293750368
93,2.976536748,-2,0.423559041,5.976536748
94,0.583114756,-2,-2.090713191,4.583114756
95,2.921595846,-2,1.964361385,5.921595846
96,3.617584554,-2,0.982059511,7.617584554
97,-0.63641251,-2,-1.000785329,1.36358749
98,1.500876144,-2,0.996456098,3.500876144
99,-1.022434711,-2,-1.162646879,0.977565289
100,1.952757041,-2,0.800683244,3.952757041
101,2.31700455,-2,1.069947226,6.31700455
102,0.546118188,-2,-0.233229486,3.546118188
