,A,B,C,D,E,F
0,1.343346159,2,1.370078087,-0.868423893,-1.462308073,-0.720289507
1,2.612699382,2,0.680659383,2.772850034,0.839310718,-1.02390992
2,1.480362467,2,1.485938104,-0.476833394,-1.377878136,0.655639004
3,-0.698347891,2,-0.536600857,0.042097631,-1.555288999,0.513558662
4,2.25518333,2,1.854034549,-3.261656006,-2.611237261,-1.870063423
5,1.164253943,2,2.251669717,0.045540553,-2.341886531,0.60590538
6,2.342950921,2,1.791932773,0.544673045,-0.984952592,1.125137718
7,0.851721032,2,1.258071823,-2.077016909,-0.744278472,-1.683334402
8,3.923617281,2,2.043551366,-1.2124601,-0.015388742,0.006679127
9,2.109186063,2,0.188099622,0.380113634,-3.198235619,1.180745659
10,-0.361900827,2,0.396841752,-1.001825411,-1.148242478,0.181256226
11,-1.43759537,2,-0.743674735,0.203407802,-1.356678682,0.049598489
12,3.954598357,2,3.795483372,2.230713176,-5.188671934,-1.508261772
13,4.820738073,2,2.588121332,0.090938947,-4.646376014,1.32122443
14,1.872470838,2,2.643314569,-2.437913925,-2.337454766,-0.805322872
15,0.625655857,2,-1.452450754,-2.19205212,-0.81475377,-0.618982189
16,3.61338115,2,2.003717224,-0.555683469,-2.299105651,0.883838762
17,2.552640428,2,0.588070297,-2.185999393,-0.986157902,-1.614356664
18,0.862414359,2,2.072416128,0.155431551,-3.097118316,0.246396365
19,5.23378093,2,3.914292674,1.881334727,-4.242043003,-1.393341188
20,2.500624256,2,0.688130874,1.959549645,1.891666555,-1.458078662
21,4.831698427,2,2.377530004,-2.455532696,-1.557438269,-0.554560665
22,2.347001547,2,1.715113981,-3.238702758,-1.396420377,-2.335026734
23,1.917523176,2,1.463353092,-0.836015421,-0.904470763,0.022640073
24,3.513174641,2,1.722191561,-1.980334244,-0.662287071,-1.679319725
25,-1.421565497,2,-0.869108245,0.581994931,-1.161156343,0.366138503
26,0.605677637,2,1.385688287,-0.278182552,0.103596975,0.999160784
27,2.057153078,2,1.726427497,-1.315015183,-0.644571442,0.122847788
28,1.613130848,2,1.028891639,-0.003938384,0.290947176,0.497715455
29,0.04507908,2,0.820925513,0.1150161,1.109783291,1.258330373
30,2.68689322,2,2.254192669,0.125273325,-3.105481724,0.208554975
31,0.655726654,2,1.183423066,0.708104619,-1.806976956,0.308541764
32,0.138886655,2,-0.112505055,0.078056524,0.897835879,0.012053378
33,0.034813639,2,0.368602027,-0.566311164,-2.296730114,0.619164194
34,5.207731041,2,5.286893612,0.433155472,-4.845590725,0.818627491
35,2.318263178,2,1.173698215,-0.77673573,-0.334268852,-0.028918401
36,-0.868218614,2,-1.200470478,0.236568305,1.152641651,-0.352678406
37,0.575479121,2,1.040143931,-1.058524149,-1.178047884,-0.528863826
38,1.682848966,2,1.915665728,-0.58744533,-2.590439338,1.084635693
39,1.137090807,2,0.520308741,-0.02208516,-0.685561233,-0.561821553
40,1.599854104,2,0.177911746,0.261668069,-0.008407903,-0.700700799
41,2.569027689,2,1.354799687,-0.843505565,-0.996701538,-0.23612028
42,1.949658558,2,0.482370176,-1.546632625,1.266955244,-0.303774886
43,1.607099965,2,1.009487733,-1.797903622,-0.445364226,-0.756183505
44,-1.208192151,2,-0.342038307,0.792234465,1.552840221,-0.878476693
45,5.172803503,2,3.716356591,-2.271669668,-1.692916933,-0.794965058
46,3.69781728,2,3.11520256,-0.720983063,-1.757952106,1.008153972
47,1.407997928,2,0.952593858,-1.926753336,-0.489249296,-0.838584798
48,0.35964341,2,1.074628219,-0.56460837,-0.340493462,1.047331116
49,3.270509204,2,2.36587239,-1.01141207,-4.485236626,-0.194258729
50,1.072688227,2,0.612713529,0.230478832,1.899153174,-0.207623331
51,2.610441082,2,3.326565873,0.355946609,-3.167992936,0.898418628
52,1.035350427,2,0.906578658,-1.278436471,-0.292924454,-0.547568436
53,1.548185081,2,1.646797846,-0.837224494,-1.638262939,0.042408591
54,1.056878492,2,0.096497413,-0.227149301,0.090821107,0.698823441
55,-2.457594754,2,-2.688550335,-2.891916596,4.695065154,-1.495178901
56,3.755039558,2,1.81468843,-0.159978149,-0.294981222,1.292090936
57,3.668640536,2,3.149469812,-1.157962766,-2.589261759,-0.495285124
58,4.349211188,2,4.060164046,-1.154984989,-2.583690822,-0.349237919
