,A,B,C,D,E,F
0,4.320456894,2.010628353,2,-3.013405255,-2.094258248,-1.286625649
1,3.035797975,-0.180128312,2,0.572699435,-4.033528704,-0.096329231
2,3.915176798,-0.502050255,2,2.506013227,-3.43778998,-1.275225836
3,3.85149768,0.834224574,2,-1.784269963,-0.230782992,-0.762319775
4,3.024903914,-0.872370296,2,-0.998081634,-2.386359634,-0.223324226
5,1.975940197,0.230412217,2,-1.182375002,0.615222567,-0.198806374
6,1.546444238,1.028082525,2,-3.041148463,-2.486716715,-2.215144384
7,1.729302796,0.739163099,2,0.062660872,-3.261304088,-0.13177479
8,2.982784612,0.037024801,2,0.192509431,-3.713983671,1.223264555
9,3.753280126,1.837984232,2,-4.729859253,-1.250370014,-0.203308547
10,3.457319371,0.9723535,2,-1.995887377,-3.713156728,-1.087787586
11,2.253806537,-0.659022619,2,1.49594655,-3.684295747,-0.619330544
12,2.054203364,0.532348763,2,-1.207562763,-1.839196486,-0.168870415
13,2.068762638,-0.177081434,2,0.923547798,-4.296400122,0.285696789
14,1.742348811,-0.716759573,2,-1.062336364,-0.882814077,-0.297303818
15,1.661565418,-0.989644853,2,-1.029476185,-0.912747527,-0.564235631
16,1.715416155,-0.53652988,2,-2.547938623,-0.782928381,-1.720826741
17,2.022836295,0.117231978,2,2.202975963,0.889425631,-0.726706233
18,1.660707231,-2.297217072,2,-2.204256533,-1.603276073,-1.595906686
19,2.464337079,0.764548612,2,-0.382140991,-3.028509291,-0.083013647
20,2.520744197,2.300927249,2,-3.778539273,-1.495007346,-1.508495668
21,1.942983304,0.710967325,2,0.436454627,-2.565282144,0.637835909
22,1.03790432,-3.041535488,2,-1.827083944,-2.188129695,-1.186182858
23,2.924898741,-0.991247339,2,-0.241150829,-0.630157703,1.010733239
24,1.943680709,1.795272413,2,-2.241893509,-3.061193203,-2.020505323
25,2.072325134,0.37113694,2,-0.805561042,-3.292633775,0.339574191
26,1.92905885,-0.13962138,2,-2.481429432,-2.176359392,-0.975690798
27,2.00892141,-0.458879443,2,-1.088907925,-2.35301022,0.119205419
28,3.129121582,-0.401758014,2,-0.493763934,-2.171391989,0.466872861
29,2.095504799,0.386567226,2,-0.408130603,-0.949531656,-0.705764822
30,2.066817579,2.241835631,2,-2.781064893,-3.266574252,-1.013422907
31,2.937495854,-0.296656228,2,0.312320527,-1.217319185,0.718673103
32,2.169070944,-1.359774985,2,-0.854729571,-2.633480285,0.839803033
33,2.331160042,-2.172668041,2,-0.577485147,-2.085010005,1.199267376
34,2.996582031,-0.564329909,2,-0.824083227,-1.260358772,0.246182691
35,2.057209551,-2.662268214,2,-1.288034378,-0.902781847,0.379379254
36,2.439312634,-1.867493101,2,-0.029185395,-3.188211594,0.993149863
37,2.132517574,0.693091659,2,-2.41808101,-2.546238662,-1.347911789
38,1.846783904,0.783216712,2,1.159771158,-3.960863474,-0.515000425
39,1.656682338,0.969747604,2,-2.132866753,-2.755504708,-0.394563046
40,2.652273707,-2.538119715,2,0.329798554,-2.323989586,1.575564337
41,2.648929709,1.709107117,2,-2.090435925,-1.135978,-1.240775262
42,2.652343334,-1.947837977,2,-2.307901102,-2.556590383,-1.032022013
43,3.956452672,0.521525293,2,-1.284816731,-0.989417898,-0.804064049
44,1.900315738,-0.392447588,2,-1.430467249,0.168500096,-0.309285374
45,1.862931609,-3.43389581,2,-0.658960958,-1.479436216,0.712354838
46,2.705393159,1.295189147,2,-0.153642953,0.060327109,1.109699846
47,2.9905418,-0.190303352,2,-0.736164982,-2.825530637,0.523544691
48,3.821852714,-1.268932803,2,0.97780751,-3.724103664,0.145873379
49,2.225589827,0.965228913,2,0.009755381,-4.536031197,0.367342437
50,2.953467719,1.063634818,2,0.206200895,-2.588054485,0.030256196
51,3.367751037,-3.163403283,2,-1.260103552,-0.200176544,0.281586848
52,2.037929928,0.706029098,2,-1.171245853,-1.495971356,-0.734822694
53,2.869076866,1.806941084,2,-1.684364099,-1.337130772,-0.866787365
54,4.003731029,-3.98934418,2,-1.956380477,-0.128101321,-0.42831893
55,2.985667914,0.480984602,2,0.923198104,-1.991351183,-0.728903548
56,4.430258057,0.968604963,2,-1.277005179,-2.888699581,0.623578656
57,1.999926726,0.002502007,2,-1.176747134,-2.433743237,0.204453624
58,2.117047611,-3.406667117,2,0.237917106,-3.788111071,0.162008431
59,1.674246791,-1.213100264,2,0.14651244,0.029317346,1.495385176
60,1.929263598,0.778036233,2,0.17834233,-1.629235781,1.12733847
61,2.002781506,0.616070582,2,-1.058619219,-0.54827094,-0.079877356
62,1.572282525,-2.630659504,2,-0.232978625,0.038655845,-0.196699591
63,4.588643198,-1.389010894,2,-0.912817493,-2.239929043,0.271308676
64,1.99640099,1.761086457,2,-3.477700739,-1.804137038,-0.889914548
65,2.089976159,1.009496313,2,3.269098826,-4.073836939,-0.708708225
66,2.049448858,0.488853761,2,-0.282767458,-0.830675415,1.247928193
67,2.241699105,-0.383830922,2,0.408781631,-1.895695835,0.443539615
68,1.896650817,0.318424254,2,-0.927075772,-5.156074525,0.274560798
69,2.995320703,0.016368875,2,-0.620414498,-2.121817244,0.627018788
70,1.989850038,-0.164233161,2,0.023210514,-1.327234072,0.610779072
71,2.961638301,1.086204222,2,-0.880588099,-2.864043609,0.301629964
72,2.049913252,0.241757516,2,0.257074108,-2.219904782,0.89637275
73,2.006124076,0.606039362,2,-0.745362252,-1.495274434,0.618331402
74,1.588816232,-1.94252714,2,-1.244018534,-1.847991035,-0.418971907
75,1.908702806,-0.426544945,2,-0.435605022,-1.924872889,-0.75872238
76,1.812029462,0.90935389,2,0.338700096,-3.887646928,0.186606936
77,1.994164107,0.134063515,2,-1.250058452,-2.362809048,0.681217899
78,1.931066429,-0.247971197,2,-0.085314529,-2.875189184,0.192477285
79,1.637656131,1.68384592,2,0.038506054,-3.189525299,0.874145386
80,2.043401924,2.087721773,2,-3.125213932,-0.016885231,-1.902730844
81,0.047197108,-3.97779734,2,0.467860909,-3.935537514,1.043949683
82,1.740510059,1.053176977,2,0.963441559,-3.126083895,-0.131274957
83,2.721277848,-1.87100953,2,-0.294495301,-1.909385741,-0.142888834
84,2.900233385,-0.323866049,2,-2.533519893,-1.216845562,-1.123153836
85,1.998189069,-0.045326773,2,-0.90959085,-1.466214623,0.445002813
86,2.747435674,0.735126121,2,-2.663270852,-1.846627961,-1.26397209
87,2.294570106,-1.370006877,2,-0.529766784,-0.737702279,0.573669383
88,4.098229054,-3.237653335,2,-0.683926577,-0.994782881,-0.344465025
89,2.996619188,-0.389218144,2,-1.719357777,-2.381131029,-0.806633418
90,4.011031726,-2.754918382,2,-1.534010178,-0.896109123,-0.723029265
91,1.738905956,1.946871814,2,-2.989351624,-2.138198954,-2.62315247
92,0.75360391,2.061649584,2,-2.475863438,-2.061626141,-0.887231114
93,3.216251917,2.230276494,2,-0.11460469,-2.288754356,-0.819942723
94,3.65961473,1.137582562,2,1.350898947,-1.171710134,0.184242429
95,4.748519744,2.473657868,2,-3.87137202,-1.832016203,-1.236630598
96,2.005551323,-0.028054445,2,-0.786486364,-1.489596364,-0.475147218
97,4.320582895,-2.423036306,2,0.144158191,-2.504780451,0.965205771
98,2.287717344,0.584661614,2,1.372541168,-3.509234767,-0.918271385
99,1.725641183,1.675868086,2,-3.737374187,-2.110486106,-0.682810661
