,A,B,C,D,E,F
0,3.663021803,-5.312003907,3.59551816,-2,-3.998214062,-0.908621876
1,1.031907868,0.939312343,-0.07890681,-2,-0.19698102,-0.351261992
2,0.474890744,-3.897891898,2.121013903,-2,-1.272786259,-0.94166598
3,1.119441047,0.224965372,1.097436226,-2,-2.043237652,-0.568650569
4,0.999450683,0.73192731,-0.253605768,-2,-0.454676416,-0.33508977
5,3.531688537,2.495882859,2.60785653,-2,-0.217068286,-0.84276466
6,1.843603702,1.444550136,1.687090927,-2,0.744417998,-1.158742547
7,3.73718561,-0.131982767,2.793355771,-2,-4.192961708,-0.094867702
8,1.472292867,0.725604101,0.647858781,-2,-0.239538492,-1.292912861
9,2.06384379,0.762212529,0.92468031,-2,-0.383457456,-0.36073148
10,-1.888390301,3.931747593,-2.239898363,-2,4.540127209,-1.120630782
11,3.255073211,-0.134137543,2.248634453,-2,0.632068363,-0.626593542
12,3.102502639,-1.278782902,3.12489413,-2,-3.890051091,0.20372317
13,5.230368757,0.429750062,3.286630675,-2,-1.711341366,-0.80314674
14,3.069583779,-0.293406567,1.125785951,-2,-1.39154529,-1.0789781
15,0.098488886,0.261111947,0.017343012,-2,-0.500375274,-1.359109564
16,1.650435258,-3.817497885,2.068144414,-2,-3.113309565,-1.275042034
17,-2.250405222,1.728163668,-2.831377193,-2,2.454023866,-0.929601299
18,0.970806322,-0.377336456,1.078517936,-2,-1.594517513,-0.973524222
19,2.463813079,-0.340538953,1.523613115,-2,-1.105088405,-0.38104356
20,2.891537437,0.784478133,2.128184827,-2,-0.43336497,-0.732511498
21,1.895060211,-0.849967105,2.1467528,-2,-0.458535955,-0.416148723
22,0.568098851,0.184775153,0.533970506,-2,0.982516661,0.028580229
23,-0.267040491,2.927157839,-1.512582055,-2,3.30040339,-0.236303823
24,3.772700308,-0.886714037,3.016947316,-2,-2.213288693,-2.535220543
25,1.321563878,0.765449278,0.031481646,-2,0.808236696,-0.215888941
26,2.725176848,0.872247665,1.396407774,-2,-1.195144398,-0.897254982
27,0.952786985,-0.681655596,1.146826623,-2,-1.50930443,-1.566472233
28,0.935332478,0.436278471,0.781834924,-2,-2.757015254,-1.513627013
29,-0.365987431,0.559478641,-0.187811058,-2,1.074851832,-0.842003074
30,3.689910916,2.031687627,1.694032163,-2,-0.831204907,-0.936771125
31,5.237363541,0.251003605,5.082315935,-2,-7.205602613,-0.155512252
32,1.411501731,-1.193990475,1.937760842,-2,-1.475778985,-0.978848479
33,2.931577478,-0.165020624,1.85193757,-2,-2.292440734,-0.730353051
34,1.310083171,1.224126788,1.131649419,-2,-1.363391404,-1.127671397
35,3.020715986,0.112911308,1.996884956,-2,-3.682753367,-0.358487301
36,0.593981065,-1.031245421,0.879198303,-2,-0.032570703,-0.948769922
37,1.222811233,0.644842835,0.225670103,-2,0.364858993,-1.75021659
38,3.719718135,1.457593356,2.413872,-2,-2.216229852,-1.409763973
39,1.673945594,-1.671206513,1.064721469,-2,-1.842852875,-1.448575235
40,1.069526905,4.251594205,-2.550060731,-2,1.96570607,-1.139927379
41,0.356488424,0.543173699,0.391585858,-2,-0.869973314,-0.483120576
42,-2.301629844,2.355241108,-2.155605477,-2,3.738566839,-0.097799853
43,4.132025666,-1.046186697,2.890697685,-2,-3.553731218,-1.648236284
44,2.114309698,0.906919069,1.920212546,-2,-2.922393683,-0.997636276
45,2.390926458,-1.260783983,2.179584876,-2,-1.096907298,-0.990010153
46,2.520713062,1.699041697,2.232916637,-2,-1.768086327,-0.136331275
47,3.329165289,-0.966678025,2.039982385,-2,-0.872640862,-0.602020793
48,0.02974651,0.382150161,-0.158065248,-2,-1.530291067,-0.332970195
49,1.271883298,-0.485334863,1.102668377,-2,-2.606138373,-0.209386873
50,1.003579421,0.349044786,-1.050504695,-2,-0.933095848,-1.919070724
51,1.072116772,0.833067888,-0.67882117,-2,-0.653318221,-0.676126831
52,0.81104333,0.889938174,-0.137285903,-2,-0.600723851,-0.086306334
53,1.57281681,0.27402679,0.554761922,-2,-1.146671401,-0.706352254
54,1.471503473,0.856028524,1.096349801,-2,-1.959186578,-0.863240237
55,1.020675899,0.471049938,0.877145011,-2,-1.693175009,-0.61096944
56,-0.813563619,1.319545042,-0.664908067,-2,0.441538729,-0.823034643
57,1.357888718,0.437113078,0.995124793,-2,-3.789077949,-1.03224661
58,-0.44288563,0.911904301,-0.287863301,-2,-1.377539403,-2.014859765
59,4.291660827,0.393765132,3.237326177,-2,-0.903035697,-0.863245391
60,3.744961998,1.836250343,2.203055404,-2,-2.726015614,-1.02092095
61,2.184587405,1.512462459,2.080341674,-2,-2.105786488,-1.944987825
62,-2.154628628,0.039330907,-2.139773258,-2,2.920810773,-0.328015707
63,1.667774645,-0.519993015,1.494152178,-2,-2.001945787,-1.791722223
64,3.026899755,-0.149954558,2.046736277,-2,-0.850690691,-0.954724481
65,0.629599924,0.772246134,-0.4729822,-2,2.044721309,-1.545984881
66,5.257971794,-2.161692782,2.944738167,-2,-1.94017206,-0.276942758
67,-2.429251854,0.559344538,-2.287474652,-2,3.367163446,0.069619847
68,2.164458507,-2.001307359,2.688289727,-2,-2.128777394,-0.630246628
69,2.090752686,0.607701141,0.104180049,-2,-1.776455613,-0.543184501
70,0.369360542,0.870430019,0.265437828,-2,0.874533425,-1.12571055
71,0.227755682,0.521772011,0.183544372,-2,-0.016183659,-0.987160491
72,4.293467411,0.719802661,3.393474072,-2,-3.921935725,-0.710333759
73,1.159387226,-2.735112856,3.026856166,-2,-3.289751342,-1.166510702
74,2.814977726,0.354905689,1.874930443,-2,-0.482332238,-0.913646828
75,4.708548104,-3.341205062,2.958847183,-2,-8.226759703,-0.275616546
76,-0.234428784,0.834902687,0.179415045,-2,0.730408768,-1.454259044
77,-0.391310866,0.758913803,-0.192780382,-2,1.300168055,-1.270714893
78,0.208616396,0.809863564,-0.064865695,-2,2.775785303,-1.147840248
79,0.427031821,1.525964659,1.006049077,-2,-2.476207182,-1.606253453
80,-0.385975886,0.774035714,-0.139163963,-2,0.525860872,-1.063087178
81,2.152910667,-0.078272287,1.158895211,-2,2.325070973,-1.237399603
82,0.291654029,-0.120071538,-0.759907336,-2,2.788963296,-0.879570073
83,1.320920386,-0.136409814,1.335359871,-2,-2.034267871,-1.140872735
84,0.108366814,0.901762397,-1.31993357,-2,0.715701144,-2.134915183
85,2.782533017,0.711307435,1.710396702,-2,-2.378989125,-1.717584157
86,-0.43913032,1.433129488,-0.551678825,-2,-1.165215468,-0.6055207
87,0.099596261,0.68501161,-0.006042681,-2,1.729173528,-1.242007375
88,2.570203284,3.210804477,3.150613938,-2,-2.402220622,-0.205068019
89,3.386244307,0.588507703,3.268286742,-2,-3.018307649,-1.419387979
90,-1.699556182,0.922479736,-1.647414998,-2,1.103304079,-1.370682081
91,-0.269795164,0.506613295,-0.396160311,-2,0.049154035,-1.17297739
92,1.725046885,-1.805221635,1.250431057,-2,-0.354500376,-0.539105342
93,-0.459192008,0.655941911,-0.352834657,-2,-0.021158545,-1.273797216
94,1.587992846,0.430936847,0.669436884,-2,0.356110958,-0.240175753
95,-1.399370486,0.647195247,-1.196806459,-2,-0.532923129,-1.092662697
96,1.7035161,1.428465018,1.716363069,-2,-2.934403458,-0.496140906
97,4.185732367,1.177252699,2.143908038,-2,-1.464471719,-1.000694562
98,-1.080937,1.596587762,-0.90821748,-2,1.420009914,-0.269576347
99,2.167551559,0.489657989,1.147347457,-2,-2.915911114,-0.980957852
