,A,B,C,D,E,F
0,1.397447364,1.153328458,0.779799092,-0.179080821,2,0.543602583
1,0.826111285,0.541033975,-0.34283993,-0.638320131,2,-0.166196771
2,1.595402907,-1.289769862,1.446136035,-0.28179827,2,0.663280799
3,1.065366515,1.05244317,1.332054354,0.413375874,2,-0.97138212
4,4.261143409,0.393147886,3.383491528,-0.541283496,2,0.613269002
5,1.358979975,0.878461321,1.481822062,-2.955304645,2,-1.057252429
6,1.039669732,1.061115766,-0.182286353,0.76457374,2,0.23974637
7,0.962251758,1.684561753,2.049630459,-2.597238694,2,-0.83869453
8,-0.561479016,0.706176196,-0.735000664,0.668151656,2,0.011123051
9,4.711561274,-2.396499301,2.596954764,0.025176913,2,1.009369249
10,5.019948015,2.752659614,3.219214028,-0.997769881,2,-0.130523996
11,2.312066285,0.110108797,0.388192436,0.762817701,2,0.574220378
12,2.983470257,1.161749084,0.794924851,-0.589226448,2,0.410223301
13,0.078205023,0.046966887,0.075113654,0.467253626,2,0.605152739
14,2.811484064,1.498596132,2.758448659,0.442634686,2,-0.36455448
15,0.953655026,0.505823461,0.655071209,2.076012553,2,-1.094423058
16,0.833746102,0.836968417,-0.260610259,0.900759635,2,-0.368065319
17,2.076046265,1.264270234,2.161792979,0.198479976,2,0.359228297
18,-1.976263958,0.071889807,-1.941313641,0.71962187,2,0.418344144
19,0.962670929,0.760500704,1.1257164,0.013614686,2,0.195643909
20,-1.35133147,1.279135917,-0.52177975,0.467612721,2,-0.271474678
21,1.485941665,0.492228257,0.62119409,-1.438836132,2,-0.816571259
22,-1.061139785,1.282277382,-0.494748306,0.477620914,2,0.410134301
23,3.131752534,-2.808313978,3.059814539,0.091373722,2,0.313267902
24,0.875631585,-0.39320745,0.990192895,-0.41730848,2,0.111410149
25,2.686397377,-1.919818009,2.051918108,1.455253216,2,-0.297422753
26,-0.732874944,1.611726674,-0.680715781,-0.015363223,2,0.74775014
27,0.322269209,0.093912113,-0.643611386,0.302754644,2,-0.06934897
28,0.261690455,0.490828257,0.179411122,-0.151020959,2,0.081973921
29,1.309814151,0.153270027,1.332653616,0.925621444,2,-0.675041321
30,1.417790657,0.33073059,-0.504245986,1.22191478,2,-0.405466482
31,0.490187848,1.677926046,-0.944189824,1.222441679,2,-0.516891296
32,1.343438401,0.408762894,0.276242797,1.400504573,2,0.398107266
33,1.503605623,0.114419855,1.481398258,-0.136214768,2,0.182746515
