,A,B,C,D,E,F
0,2.070241012,1.600950955,1.924822628,-1.428034413,-0.976227328,2
1,2.553769835,0.724620974,0.620143152,-0.93709495,0.153654218,2
2,1.711359543,1.023085252,1.57683828,0.045540138,-0.905869879,2
3,-2.543986068,1.894281355,-2.432283159,1.076922955,3.107888114,2
4,3.539078335,-0.580598985,1.216736684,1.2024603,-1.334041723,2
5,3.749969781,0.842449534,1.782107534,0.609845773,-1.077085071,2
6,-2.000287332,0.787369825,-1.792882347,-1.09759161,3.034335898,2
7,-0.415946173,1.378674562,-0.711719727,0.468182826,0.060461464,2
8,3.69741388,0.419766638,1.762485493,0.342110487,-2.728462414,2
9,0.758375665,-0.227449027,0.81997779,0.335268331,-0.860238826,2
10,-0.940468246,-0.096903286,-1.932029662,-0.800460324,2.109233828,2
11,1.727642862,1.09579526,0.990601461,-4.372093247,-1.982390444,2
12,1.869327512,0.614491681,0.119380835,1.510477501,-0.837871742,2
13,0.681612094,1.074073719,0.281883538,-3.008777142,-1.385945021,2
14,1.967727302,0.693413159,0.164271734,-2.906783653,-0.002935325,2
15,0.540922514,-2.944167948,1.633632193,-2.057323828,-2.287666248,2
16,0.497842474,0.446567321,0.402792196,-0.177647367,-0.652088975,2
17,3.728427923,-3.503742214,2.547464288,-0.144946485,-1.030775128,2
18,4.53592249,0.620326608,2.564188502,-1.783600964,-2.408572354,2
19,3.402824055,-4.429675824,2.313068789,-0.595061077,-2.956966147,2
20,3.446801295,0.547615868,2.601532584,-2.072844646,-0.09739541,2
21,-1.403254636,0.397257737,-1.439470477,0.379373608,2.517911989,2
22,-1.362878985,1.080549025,-0.752579032,-0.230864527,0.078819612,2
23,0.471783926,0.636365168,0.268630903,0.219739718,0.699132898,2
24,2.973262391,0.316937046,0.85320977,-0.303701068,-0.746649733,2
25,0.230728965,0.168827533,0.323682714,-0.129058286,-0.430687121,2
26,2.07208032,0.908576669,0.368422556,-2.643782979,-0.042430529,2
27,3.208667727,0.848322524,1.571269453,-2.698079612,-1.6298984,2
28,0.469159864,1.000073118,0.637748492,0.490484245,1.246867251,2
29,1.977926198,0.971434839,0.716420399,0.08732211,0.209104933,2
30,1.668616511,1.205359592,1.428290744,-1.154693843,-1.719673773,2
31,-0.070793509,0.893551548,-1.026819627,-1.164822529,-0.431280783,2
32,3.010498397,1.487231651,1.486246606,-2.238272646,-1.06470226,2
33,-0.32448897,-0.674552245,-1.438447412,-1.554932818,0.365263146,2
34,0.595540517,0.671249254,-0.417566959,-1.75913495,1.049441562,2
35,-0.580432026,0.709066454,-0.493470833,-2.652190859,-2.34221704,2
36,2.271392839,-0.185718889,1.348618175,0.777216489,0.954368509,2
37,1.876848326,-1.972853179,1.233337627,-0.619250824,-0.172177286,2
38,2.98859138,-0.181916256,1.973854168,-1.204282249,-0.336905215,2
39,4.227936536,0.205043469,4.201150052,-1.147045223,-4.477390089,2
40,0.93059746,0.601182686,-0.178243073,-0.605551666,0.78927804,2
41,4.975081785,0.465203026,4.193257171,0.057411658,-6.20741636,2
42,4.16082812,2.503554949,2.38919363,-2.913139037,-1.634098869,2
43,2.25292293,0.879612942,0.039357084,1.503154288,1.075083607,2
44,0.15284928,0.458195938,-0.021270551,0.611943541,-0.832464219,2
45,0.419001229,0.228104766,-0.577866029,-1.011305622,2.184079294,2
46,2.742147496,2.125448115,1.967595776,-2.437629865,-1.129864437,2
47,1.00911067,0.174154069,0.958522301,1.763871759,1.034337902,2
48,3.499461605,0.653274691,2.542491748,-0.199711399,-2.643438275,2
49,1.796781574,-3.87490156,2.288397855,1.714397494,-4.779086988,2
50,2.362988541,-3.281967046,3.204254517,1.06077473,-3.4185052,2
51,2.256060373,0.845804389,1.070880016,1.532814942,-3.487904395,2
52,0.922248777,0.613389174,0.155826958,1.909652486,0.136393369,2
53,2.909194936,-0.205626413,2.792735004,-0.635124315,-2.894117241,2
54,2.633936004,-3.344459318,2.933940049,-1.47147165,-2.25738505,2
55,1.123311932,1.298095163,1.108534935,-1.925660467,-2.780646444,2
56,1.487814173,0.212375416,0.442833185,1.578084526,1.339315314,2
57,1.908869155,0.674520251,0.050355894,2.4577632,1.674074321,2
58,-0.309557168,0.529357092,0.12216655,-1.507202625,-1.564197474,2
59,2.476690944,0.640172582,1.314401944,0.540749123,-2.084405785,2
60,2.78771461,-2.580671844,2.574783155,-3.209417869,-2.246682299,2
61,2.175892145,0.489163209,0.235942598,-0.86532254,-0.27073959,2
62,0.400122557,0.682316477,0.112719213,-0.689371198,-0.791281523,2
63,1.731917645,3.473549903,4.007919099,-0.704610138,-4.309612408,2
64,2.93341027,-1.94373515,3.447105829,-1.311961351,-1.616473922,2
65,1.845797658,-1.585407191,1.94141641,0.488609797,-3.108748186,2
66,3.024279835,-4.817569135,2.531528237,-1.13210965,-2.160354305,2
67,2.188971312,0.022109971,1.185837571,-2.438478776,-2.657311583,2
68,2.438885733,-3.559795654,2.627852109,-1.639717462,-1.687273124,2
69,3.786661538,0.921652369,2.510889035,1.315188202,-0.857083411,2
70,3.345118413,0.632175615,1.181381294,-0.824151327,-1.49315735,2
71,1.990283673,-0.998992482,1.476297006,-1.120569532,-1.149183759,2
72,3.391885603,0.90863289,2.490545172,-2.513604497,-1.54711943,2
73,2.395761413,-1.286371597,2.782636503,0.244041519,-2.002400795,2
74,2.418105434,0.321081568,2.531540477,-0.120306024,-1.304112545,2
75,2.500959491,-1.564238395,2.387905988,0.456771834,-1.764924092,2
76,0.729715979,0.555529261,0.631762346,-0.341998173,-1.148447323,2
77,0.124781861,0.296586314,-0.884838577,0.301280209,0.819362233,2
78,0.030042915,0.495370834,0.048213575,-0.605176892,-0.682135354,2
79,0.076031342,0.773148984,0.080448366,0.714301282,-0.854462614,2
80,1.715483873,0.666898654,0.344841321,-0.425434291,0.882603798,2
81,0.436936317,0.409185223,0.598112019,-2.772535642,-1.973455635,2
82,-0.176986573,1.923912596,-0.69868024,1.362229005,1.862564414,2
83,1.478607799,-0.504368295,0.382823683,1.297235203,0.733533464,2
84,1.613245628,-2.98605112,1.848118375,-0.10776445,-2.279409519,2
85,2.746080153,-0.422432861,1.907075249,0.107815719,-0.501158958,2
86,-0.243094268,2.145385195,-0.995072974,-0.950406483,-2.526970488,2
87,1.059860013,1.433166555,0.822627425,-3.954827627,-0.588977368,2
88,2.039976289,0.134945798,1.073446797,-2.224011916,-0.409027498,2
89,2.504291993,-2.568215983,3.591943623,1.125908815,-3.802384312,2
