,A,B,C,D
0,0.387472344,-0.16571878,0.159719931,0.553191124
1,2.200931266,0.057569562,1.044658449,2.143361704
2,0.592624557,-0.213248771,0.729120588,0.805873328
3,5.590732483,-0.286676456,2.680387271,5.877408939
4,0.322272269,-0.153595908,-0.386534868,1.475868177
5,5.12745964,-0.289302507,0.50026304,5.416762147
6,1.364404469,0.383790461,0.311238501,0.980614009
7,-0.029275931,-0.20492582,-1.054002035,1.17564989
8,1.756364774,-0.085077359,1.386978089,2.841442133
9,0.721514679,0.386937022,-0.493737188,0.334577657
10,2.148492988,-0.335539578,-0.559308641,3.484032566
11,0.70480898,-0.141995909,-1.092819129,0.846804889
12,4.61504104,-0.499292877,1.924671174,5.114333917
13,3.542031339,0.072430689,1.476119333,4.46960065
14,1.000000935,-0.661226448,-0.426217314,2.661227383
15,-1.201972666,-0.195342682,0.01210099,-1.006629983
16,5.086262577,1.420825863,0.182301113,4.665436714
17,2.404808593,-0.33960177,1.0122595,3.744410363
18,2.982395749,-0.408967864,0.027652605,3.391363613
19,-1.101274175,0.96954875,-2.85124796,-1.070822925
20,-1.262100792,0.264472511,-0.472411617,0.473426697
21,3.190436992,-0.030274002,1.953480262,4.220710994
22,-0.202372841,0.504187698,-1.161911293,0.293439461
23,0.440264755,-0.148284808,0.552649707,1.588549562
24,1.459717802,-0.821071174,-0.272448986,4.280788976
25,-0.447421143,0.701536689,-1.342574086,-1.148957832
26,2.158720992,-0.274814244,-0.613612089,3.433535236
27,2.33574163,-0.458229146,-1.304004364,2.793970776
28,2.650121926,-0.013082766,1.0394776,3.663204692
29,-0.913424549,0.208419068,-1.15502768,-1.121843616
30,1.803949491,0.545658563,0.716004951,1.258290928
31,2.658053316,-0.207927057,-0.586092643,2.865980373
32,0.996319465,1.346762034,0.959321827,-0.350442569
33,1.475540526,0.609085132,0.618231469,0.866455394
34,0.862652137,0.052101543,-1.375690364,1.810550594
35,5.21828623,-0.29542044,1.528016153,6.51370667
36,3.148949611,0.927848892,-0.648831478,2.221100719
37,3.740081741,0.946905301,2.790587474,4.79317644
38,0.535579241,0.258741848,-0.705032535,1.276837393
39,3.157083743,0.009955902,-0.026581766,3.147127841
40,1.895429661,0.403477678,0.952265139,1.491951983
41,2.07229869,0.628627165,0.990078979,1.443671524
42,2.6737922,0.203085604,1.728648626,3.470706596
43,2.260071411,-0.498416796,0.230869487,3.758488207
44,1.424198325,0.733745501,0.375799531,0.690452823
45,1.307153356,0.497894374,0.516743477,1.809258982
46,-0.862276102,-0.07775245,-3.163675525,0.215476348
47,3.480122726,-0.427936394,-1.044386403,3.90805912
48,3.091265866,-0.191807084,0.679967307,5.28307295
49,-1.309189653,1.188011317,-1.804214883,-0.497200969
50,2.311984667,-0.43777243,1.324774933,2.749757098
51,3.655099786,-0.239271841,0.607785231,5.894371628
52,1.548898119,1.453119704,1.503695148,0.095778415
53,5.777339595,-0.771923235,2.041466609,8.54926283
54,0.884189425,-0.056568131,0.085366481,0.940757556
55,1.230756293,-0.39410556,0.327435543,1.624861853
56,2.14995669,-0.65975748,-0.105735705,3.809714169
57,6.203074014,-0.01332134,2.952107019,6.216395354
58,4.732584597,-0.204023723,1.715189727,5.93660832
59,0.781622463,0.351085035,0.180268332,1.430537428
60,-0.096140705,0.859815612,-1.097831401,-0.955956317
61,0.027120561,-0.550468513,0.09170051,0.577589075
62,1.799314734,-0.074227239,0.23863535,1.873541973
63,-3.091994601,-0.150021354,-0.277962968,-1.941973247
64,1.183247239,-0.573864858,0.63572502,1.757112097
65,-1.909723137,0.164373537,0.822018863,-1.074096673
66,1.720769409,1.247445321,1.354603878,0.473324088
67,1.557939891,-0.099017786,0.240403504,1.656957677
68,0.703137226,0.551358858,-0.539751846,0.151778367
69,1.532856829,0.969801478,0.28487944,0.563055351
70,3.835085538,-0.518609036,2.020642834,4.353694574
71,2.864522774,-0.031082243,1.498744124,4.895605017
72,2.522237093,0.721504258,0.958010776,2.800732834
73,0.383600852,0.628948669,-0.860073253,0.754652183
74,1.297128125,0.481159487,0.228925054,0.815968639
75,0.306455957,0.637467715,-0.764177221,-0.331011757
76,1.02373524,0.343114052,-0.154868831,0.680621188
77,3.229797225,-0.215132444,2.665432398,3.444929669
78,1.598448276,0.698862454,0.535848937,0.899585823
79,1.575787967,0.099646225,-0.121277262,2.476141742
80,2.366078302,-0.177060712,1.405874276,3.543139014
81,-0.420413236,-0.059855718,-1.64430335,-0.360557518
82,1.519667168,0.322320724,0.704839258,3.197346445
83,1.557019196,-0.722115121,1.039006753,2.279134317
84,-0.706635515,1.478527072,-0.441132172,-2.185162587
85,1.140173729,-0.69130797,0.20494464,1.831481699
86,-0.197688085,0.958024968,-1.071531288,-0.155713054
87,3.765488209,-0.744579109,-0.390640812,4.510067318
88,-0.505628869,-0.252795596,-0.426388267,-0.252833272
89,0.855784387,0.833375643,0.030124359,1.022408744
90,-0.437682434,-0.080075574,-1.415166161,-0.357606861
91,1.58068234,-0.732063237,-0.539038169,2.312745577
92,1.272389313,-0.046916186,0.49413516,1.319305499
93,2.375913271,-0.395528646,1.849025919,3.771441916
94,1.235701509,0.998776253,1.082769759,1.236925257
95,0.964045367,0.168651407,-0.583882252,0.79539396
96,0.770550335,-0.296495826,-1.702877869,1.06704616
97,-0.564636947,1.40836336,-0.253048339,-1.973000307
98,0.889175157,0.724944805,0.000812026,0.164230352
99,0.757310009,-0.376293084,0.413289075,1.133603093
